Sequence549.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence88.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence880.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence881.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence882.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence883.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence884.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence885.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence886.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence887.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence888.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence889.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence89.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence890.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence891.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence892.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence893.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence894.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence895.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence896.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence897.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence898.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence899.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence9.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence90.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence900.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence901.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence902.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence903.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence904.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence905.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence906.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence907.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence908.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence909.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence91.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence910.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence911.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence912.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence913.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence914.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence915.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence916.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence917.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence918.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence919.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence92.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence920.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence921.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence922.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence923.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence924.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence925.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence926.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence927.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence928.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence929.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence93.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence930.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence931.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence932.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence933.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence934.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence935.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence936.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence937.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence938.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence939.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence94.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence940.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence941.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence942.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence943.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence944.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence945.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence946.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence947.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence948.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence949.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence95.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence950.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence951.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence952.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence953.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence954.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence955.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence956.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence957.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence958.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence959.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence96.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence960.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence961.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence962.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence963.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence964.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence965.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence966.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence967.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence968.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence969.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence97.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence970.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence971.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence972.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence973.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence974.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence975.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence976.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence977.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence978.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence979.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence98.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence980.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence981.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence982.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence983.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence984.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence985.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence986.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence987.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence988.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence989.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence99.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence990.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence991.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence992.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence993.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence994.csv_1: True Class: B, Predicted: B, Probability: 0.5133155792276964
Sequence995.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence996.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence997.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence998.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
Sequence999.csv_1: True Class: A, Predicted: B, Probability: 0.5133155792276964
