Sequence549.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence88.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence880.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence881.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence882.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence883.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence884.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence885.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence886.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence887.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence888.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence889.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence89.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence890.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence891.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence892.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence893.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence894.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence895.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence896.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence897.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence898.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence899.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence9.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence90.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence900.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence901.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence902.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence903.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence904.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence905.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence906.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence907.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence908.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence909.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence91.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence910.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence911.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence912.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence913.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence914.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence915.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence916.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence917.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence918.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence919.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence92.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence920.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence921.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence922.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence923.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence924.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence925.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence926.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence927.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence928.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence929.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence93.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence930.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence931.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence932.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence933.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence934.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence935.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence936.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence937.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence938.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence939.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence94.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence940.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence941.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence942.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence943.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence944.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence945.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence946.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence947.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence948.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence949.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence95.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence950.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence951.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence952.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence953.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence954.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence955.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence956.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence957.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence958.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence959.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence96.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence960.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence961.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence962.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence963.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence964.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence965.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence966.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence967.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence968.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence969.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence97.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence970.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence971.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence972.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence973.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence974.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence975.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence976.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence977.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence978.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence979.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence98.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence980.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence981.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence982.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence983.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence984.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence985.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence986.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence987.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence988.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence989.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence99.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence990.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence991.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence992.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence993.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence994.csv_1: True Class: B, Predicted: C, Probability: 0.37059214903526283
Sequence995.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence996.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence997.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
Sequence998.csv_1: True Class: C, Predicted: C, Probability: 0.37059214903526283
Sequence999.csv_1: True Class: A, Predicted: C, Probability: 0.37059214903526283
